plant_id,company_id,parentcomp_id,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,continent,country,iso3,state,city_name,metroarea,county,congdist,zip,latitude,longitude
"54972","WINDFARM OYTEN-BASSEN-OST","0","OYTEN-BASSEN-OST","0.0000","0.0000","0.0000","0.0000","9857.4980","9857.4980","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Oyten-Bassen","","","","0","0","0"
"54612","WEA STUHR I","0","STUHR","0.0000","0.0000","0.0000","0.0000","5798.5278","11597.0596","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Stuhr","","","","0","53.03333","8.75"
"55773","WEA WESTERHAUSEN","0","WESTERHAUSEN","0.0000","0.0000","0.0000","0.0000","5798.5278","5798.5278","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Westerhausen","","","","0","51.8","11.06667"
"52268","WINDPARK HOFER","0","HOFER","0.0000","0.0000","0.0000","0.0000","11597.0596","11597.0596","0.0000","0.0000","0.0000","Europe","Germany","DEU","","Hofer bei Achim","","","","0","0","0"
"56020","WINDPARK WALLENHORST","0","WALLENHORST","0.0000","0.0000","0.0000","0.0000","5798.5278","5798.5278","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Wallenhorst","","","","0","52.35","8.016666"
"51490","WINDPARK WENDENBOSTEL","0","WENDENBOSTEL","0.0000","0.0000","0.0000","0.0000","12321.8701","12321.8701","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Wendenbostel","","","","0","0","0"
"53581","DEZENTRALE ENERGIE AGENTUR","0","OHE II","0.0000","0.0000","0.0000","0.0000","8697.7920","8697.7920","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Welle","","","","0","51.48333","11.78333"
"51497","WINDPARK HOLTUM-GEEST","0","HOLTUM-GEEST","0.0000","0.0000","0.0000","0.0000","19135.1406","19135.1406","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Verden","","","","0","52.91667","9.233334"
"55074","DEZENTRALE ENERGIE AGENTUR","0","BONEN","0.0000","0.0000","0.0000","0.0000","23194.1094","23194.1094","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Bonen","","","","0","0","0"
"55832","DEZENTRALE ENERGIE AGENTUR","0","LANGWEDEL SUD","0.0000","0.0000","0.0000","0.0000","3479.1169","3479.1169","0.0000","0.0000","0.0000","Europe","Germany","DEU","Schleswig-Holstein","Langwedel","","","","0","54.21667","9.933333"
"55300","STADTWERKE AACHEN AG (STAWAG)","0","STAWAG HQ","0.0000","0.0000","0.0000","10.5954","10.8356","10.8356","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Aachen","","","","0","50.77083","6.105278"
"54659","STADTWERKE AACHEN AG (STAWAG)","0","ASEAG WAREHOUSE","0.0000","0.0000","0.0000","0.0000","221.0469","221.0469","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Aachen","","","","0","50.77083","6.105278"
"55060","EUREGIO-SOLAR I GBR","0","EUREGIO SOLAR","0.0000","0.0000","0.0000","0.0000","114.8577","114.8577","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Aachen","","","","0","50.77083","6.105278"
"51512","STADTWERKE AACHEN AG (STAWAG)","0","STAWAG BURGERANLAGE","0.0000","0.0000","0.0000","0.0000","114.8577","114.8577","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Aachen","","","","0","50.77083","6.105278"
"56691","WARMEVERSORGUNGSGESELLSCHAFT","0","KONIGS WKW","0.0000","4140.5928","4514.6968","0.0000","5268.3848","5783.6260","0.0000","1571.8640","1561.1990","Europe","Germany","DEU","Brandenburg","Königs Wusterhausen","","","","0","52.28333","13.61667"
"55896","BIOMASSEKRAFTWERK FRIEDLAND","0","FRIEDLAND ORC","0.0000","267.0087","289.8120","0.0000","840.7298","910.8448","0.0000","635.1832","636.3586","Europe","Germany","DEU","Sachsen","Friedland","","","","0","0","0"
