sp.ID time endTime t.ID station_european_code PM10 x y 
NL00444 2005-06-01 2005-06-02 5266 NL00444 22.274 4.5102860000000007 52.2980540019747480
NL00722 2005-06-01 2005-06-02 5266 NL00722 16.109 6.6058390000000013 52.0924990020225850
NL00807 2005-06-01 2005-06-02 5266 NL00807 15.094 6.4036140000000037 52.3891680019525620
NL00235 2005-06-01 2005-06-02 5266 NL00235 26.757 4.3602860000000021 51.4350010021548840
NL00934 2005-06-01 2005-06-02 5266 NL00934 18.579 6.2775090000000038 53.3316650016897710
NL00318 2005-06-01 2005-06-02 5266 NL00318 NA 3.7494580000000002 51.2952770021788210
NL00929 2005-06-01 2005-06-02 5266 NL00929 17.626 6.9333330000000020 52.8766630018241130
NL00131 2005-06-01 2005-06-02 5266 NL00131 18.367 5.8536139999999994 51.5411110021356930
NL00738 2005-06-01 2005-06-02 5266 NL00738 17.214 5.7086189999999997 52.1124990020180480
NL00437 2005-06-01 2005-06-02 5266 NL00437 21.911 4.4508409999999996 51.7874980020879720
NL00538 2005-06-01 2005-06-02 5266 NL00538 19.691 5.0508420000000021 52.8047220018440910
NL00633 2005-06-01 2005-06-02 5266 NL00633 NA 4.8383360000000035 52.1388890020120640
PL0026A 2005-06-01 2005-06-02 5266 PL0026A 11.208 15.2319600000000100 51.2280600021898070
PL0062A 2005-06-01 2005-06-02 5266 PL0062A 7.625 15.6682549999999970 51.0123130022226830
PL0094A 2005-06-01 2005-06-02 5266 PL0094A 6.286 19.2333340000000030 52.1433330020110400
PL0182A 2005-06-01 2005-06-02 5266 PL0182A 8 14.3821700000000040 53.1222970017532820
PT05012 2005-06-01 2005-06-02 5266 PT05012 23.346 -7.6786220000000087 37.3124999960786990
PT03096 2005-06-01 2005-06-02 5266 PT03096 31.413 -8.2819580000000030 39.2113909978439490
PT02019 2005-06-01 2005-06-02 5266 PT02019 44.048 -8.6708360000000031 40.5894429989728000
